"","id","sex","FID","dad","mom","pheno","population"
"NA18911","NA18911",1,"Y027","NA18910","NA18909",0,"YRI"
"NA18518","NA18518",0,"Y014","NA18519","NA18520",0,"YRI"
"NA19198","NA19198",1,"Y035","0","0",0,"YRI"
"NA19122","NA19122",0,"Y061","0","0",0,"YRI"
"NA18930","NA18930",0,"Y030","NA18917","NA18916",0,"YRI"
"NA18934","NA18934",1,"Y036","0","0",0,"YRI"
"NA18924","NA18924",0,"Y033","0","0",0,"YRI"
"NA19147","NA19147",0,"Y075","0","0",0,"YRI"
"NA18486","NA18486",1,"Y001","0","0",0,"YRI"
"NA18499","NA18499",0,"Y003","0","0",0,"YRI"
"NA18487","NA18487",1,"Y002","0","0",0,"YRI"
"NA19248","NA19248",1,"Y120","0","0",0,"YRI"
"NA18917","NA18917",1,"Y030","0","0",0,"YRI"
"NA19115","NA19115",0,"Y079","NA19113","NA19114",0,"YRI"
"NA19114","NA19114",0,"Y079","0","0",0,"YRI"
"NA19215","NA19215",0,"Y110","NA19213","NA19214",0,"YRI"
"NA19184","NA19184",1,"Y039","0","0",0,"YRI"
"NA19183","NA19183",0,"Y052","NA19181","NA19182",0,"YRI"
"NA19176","NA19176",0,"Y044","0","0",0,"YRI"
"NA18867","NA18867",0,"Y007","0","0",0,"YRI"
"NA19180","NA19180",0,"Y038","NA19178","NA19179",0,"YRI"
"NA19148","NA19148",0,"Y075","NA19146","NA19147",0,"YRI"
"NA19109","NA19109",0,"Y006","NA19107","NA19108",0,"YRI"
"NA19236","NA19236",1,"Y116","0","0",0,"YRI"
"NA18874","NA18874",1,"Y019","0","0",0,"YRI"
"NA19179","NA19179",0,"Y038","0","0",0,"YRI"
"NA19186","NA19186",1,"Y039","NA19184","NA19185",0,"YRI"
"NA19182","NA19182",0,"Y052","0","0",0,"YRI"
"NA19226","NA19226",1,"Y057","0","0",0,"YRI"
"NA19225","NA19225",0,"Y057","0","0",0,"YRI"
"NA19258","NA19258",1,"Y092","NA19256","NA19257",0,"YRI"
"NA19189","NA19189",1,"Y111","0","0",0,"YRI"
"NA18498","NA18498",1,"Y003","0","0",0,"YRI"
"NA19118","NA19118",0,"Y100","0","0",0,"YRI"
"NA19199","NA19199",0,"Y035","NA19198","NA19197",0,"YRI"
"NA19107","NA19107",1,"Y006","0","0",0,"YRI"
"NA18875","NA18875",0,"Y019","NA18874","NA18873",0,"YRI"
"NA18510","NA18510",1,"Y010","0","0",0,"YRI"
"NA18511","NA18511",0,"Y010","0","0",0,"YRI"
"NA18923","NA18923",1,"Y033","0","0",0,"YRI"
"NA19150","NA19150",1,"Y073","0","0",0,"YRI"
"NA18910","NA18910",1,"Y027","0","0",0,"YRI"
"NA18873","NA18873",0,"Y019","0","0",0,"YRI"
"NA18505","NA18505",0,"Y005","0","0",0,"YRI"
"NA19202","NA19202",0,"Y045","NA19200","NA19201",0,"YRI"
"NA19240","NA19240",0,"Y117","NA19239","NA19238",0,"YRI"
"NA19239","NA19239",1,"Y117","0","0",0,"YRI"
"NA18501","NA18501",1,"Y004","0","0",0,"YRI"
"NA19137","NA19137",0,"Y043","0","0",0,"YRI"
"NA19153","NA19153",1,"Y072","0","0",0,"YRI"
"NA18857","NA18857",1,"Y023","NA18856","NA18855",0,"YRI"
"NA19223","NA19223",1,"Y058","0","0",0,"YRI"
"NA18500","NA18500",1,"Y004","NA18501","NA18502",0,"YRI"
"NA18861","NA18861",0,"Y024","0","0",0,"YRI"
"NA19201","NA19201",0,"Y045","0","0",0,"YRI"
"NA19144","NA19144",1,"Y074","0","0",0,"YRI"
"NA19193","NA19193",0,"Y112","0","0",0,"YRI"
"NA18503","NA18503",1,"Y005","NA18504","NA18505",0,"YRI"
"NA18504","NA18504",1,"Y005","0","0",0,"YRI"
"NA19203","NA19203",1,"Y048","0","0",0,"YRI"
"NA19143","NA19143",0,"Y074","0","0",0,"YRI"
"NA18871","NA18871",1,"Y017","0","0",0,"YRI"
"NA18870","NA18870",0,"Y017","0","0",0,"YRI"
"NA19200","NA19200",1,"Y045","0","0",0,"YRI"
"NA18517","NA18517",0,"Y013","0","0",0,"YRI"
"NA19221","NA19221",0,"Y058","NA19223","NA19222",0,"YRI"
"NA18863","NA18863",1,"Y024","NA18862","NA18861",0,"YRI"
"NA18855","NA18855",0,"Y023","0","0",0,"YRI"
"NA19209","NA19209",0,"Y050","0","0",0,"YRI"
"NA19160","NA19160",1,"Y056","0","0",0,"YRI"
"NA19152","NA19152",0,"Y072","0","0",0,"YRI"
"NA19102","NA19102",0,"Y042","0","0",0,"YRI"
"NA19172","NA19172",0,"Y047","0","0",0,"YRI"
"NA18854","NA18854",1,"Y018","NA18853","NA18852",0,"YRI"
"NA18515","NA18515",1,"Y013","NA18516","NA18517",0,"YRI"
"NA19238","NA19238",0,"Y117","0","0",0,"YRI"
"NA19142","NA19142",1,"Y071","NA19141","NA19140",0,"YRI"
"NA18913","NA18913",1,"Y028","0","0",0,"YRI"
"NA19139","NA19139",1,"Y043","NA19138","NA19137",0,"YRI"
"NA18912","NA18912",0,"Y028","0","0",0,"YRI"
"NA19222","NA19222",0,"Y058","0","0",0,"YRI"
"NA18508","NA18508",0,"Y009","0","0",0,"YRI"
"NA19129","NA19129",0,"Y077","NA19128","NA19127",0,"YRI"
"NA19194","NA19194",1,"Y112","NA19192","NA19193",0,"YRI"
"NA19154","NA19154",1,"Y072","NA19153","NA19152",0,"YRI"
"NA19138","NA19138",1,"Y043","0","0",0,"YRI"
"NA18852","NA18852",0,"Y018","0","0",0,"YRI"
"NA19120","NA19120",1,"Y060","NA19119","NA19116",0,"YRI"
"NA19210","NA19210",1,"Y050","0","0",0,"YRI"
"NA19204","NA19204",0,"Y048","0","0",0,"YRI"
"NA18507","NA18507",1,"Y009","0","0",0,"YRI"
"NA19159","NA19159",0,"Y056","0","0",0,"YRI"
"NA19211","NA19211",1,"Y050","NA19210","NA19209",0,"YRI"
"NA18516","NA18516",1,"Y013","0","0",0,"YRI"
"NA18862","NA18862",1,"Y024","0","0",0,"YRI"
"NA19101","NA19101",1,"Y042","0","0",0,"YRI"
"NA18872","NA18872",1,"Y017","NA18871","NA18870",0,"YRI"
"NA19192","NA19192",1,"Y112","0","0",0,"YRI"
"NA18858","NA18858",0,"Y012","0","0",0,"YRI"
"NA19141","NA19141",1,"Y071","0","0",0,"YRI"
"NA19093","NA19093",0,"Y040","0","0",0,"YRI"
"NA19132","NA19132",0,"Y101","NA19130","NA19131",0,"YRI"
"NA19206","NA19206",0,"Y051","0","0",0,"YRI"
"NA18506","NA18506",1,"Y009","NA18507","NA18508",0,"YRI"
"NA19098","NA19098",1,"Y105","0","0",0,"YRI"
"NA19130","NA19130",1,"Y101","0","0",0,"YRI"
"NA19128","NA19128",1,"Y077","0","0",0,"YRI"
"NA19131","NA19131",0,"Y101","0","0",0,"YRI"
"NA19208","NA19208",1,"Y051","NA19207","NA19206",0,"YRI"
"NA19116","NA19116",0,"Y060","0","0",0,"YRI"
"NA18914","NA18914",1,"Y028","NA18913","NA18912",0,"YRI"
"NA19127","NA19127",0,"Y077","0","0",0,"YRI"
"NA19094","NA19094",0,"Y040","NA19092","NA19093",0,"YRI"
"NA19161","NA19161",1,"Y056","NA19160","NA19159",0,"YRI"
"NA18853","NA18853",1,"Y018","0","0",0,"YRI"
"NA19173","NA19173",1,"Y047","NA19171","NA19172",0,"YRI"
"NA19171","NA19171",1,"Y047","0","0",0,"YRI"
"NA19140","NA19140",0,"Y071","0","0",0,"YRI"
"NA18859","NA18859",1,"Y012","0","0",0,"YRI"
"NA19119","NA19119",1,"Y060","0","0",0,"YRI"
"NA18860","NA18860",1,"Y012","NA18859","NA18858",0,"YRI"
"NA19207","NA19207",1,"Y051","0","0",0,"YRI"
"NA19103","NA19103",1,"Y042","NA19101","NA19102",0,"YRI"
"NA19099","NA19099",0,"Y105","0","0",0,"YRI"
